Model,Overall Accuracy,Precision,Recall,F1 Score,TP,TN,FP,FN,AIG Recall,AIG Detected,AIG Total,AIM Recall,AIM Detected,AIM Total,Real Specificity,False Positives
Qwen3 VL 32B,0.5555555555555556,0.9,0.375,0.5294117647058825,18,22,2,30,0.4166666666666667,10,24,0.3333333333333333,8,24,0.9166666666666666,2
InternVL 3.5 8B,0.4861111111111111,0.6896551724137931,0.4166666666666667,0.5194805194805195,20,15,9,28,0.4583333333333333,11,24,0.375,9,24,0.625,9
MiniCPM-V 4.5,0.4166666666666667,1.0,0.125,0.2222222222222222,6,24,0,42,0.16666666666666666,4,24,0.08333333333333333,2,24,1.0,0
InternVL 2.5 8B,0.3472222222222222,1.0,0.02083333333333333,0.04081632653061225,1,24,0,47,0.0,0,24,0.041666666666666664,1,24,1.0,0
